buoc,loss_train,learning_rate,giay_moi_buoc,token_moi_giay
3600,1.7274691462516785,0.0007,1.4077540887000033,14031.07272680014
3650,1.6439271569252014,0.0007,1.4187759177200132,13910.780239148966
3700,1.6995335817337036,0.0007,1.4051702149800076,13957.654233568455
3750,1.700998067855835,0.0007,1.3995014923800044,14053.889979460957
3800,1.6472447514533997,0.0007,1.399240109380007,13952.901913775684
3850,1.6557149291038513,0.0007,1.411896189300005,13964.865228353181
3900,1.7507239282131195,0.0007,1.4005749508600092,14040.262527846327
3950,1.7644108533859253,0.0007,1.3959713633799948,13999.714114966542
4000,1.7036460041999817,0.0007,1.404666753040001,13939.66217084829
4000,,,,
4050,1.765241950750351,0.0007,2.935067647819997,6735.83111949196
4100,1.6760786473751068,0.0007,1.3949612660999993,13968.000742038676
4150,1.7176882326602936,0.0007,1.3972353460399973,13967.611151057536
4200,1.7012582123279572,0.0007,1.4074777548200108,13935.694495227226
4250,1.7187195122241974,0.0007,1.4001519214399922,14013.050797960064
4300,1.626047283411026,0.0007,1.412244025,13971.862971769344
4350,1.5938239693641663,0.0007,1.404735933860011,14003.329398677086
4400,1.7064844369888306,0.0007,1.3962301347399988,14038.215844445982
4450,1.6828674674034119,0.0007,1.4092675639199843,13951.5451170324
4500,1.5730920732021332,0.0007,1.4217733137399955,13814.733903207789
4550,1.5541513562202454,0.0007,1.405019954800009,14021.437868335584
4600,1.66745263338089,0.0007,1.3773082705400157,14133.26298575686
4650,1.6157722175121307,0.0007,1.412475201239995,13918.502769281278
4700,1.5564539730548859,0.0007,1.3860344038200128,14069.391023956365
4750,1.6104006171226501,0.0007,1.417799955440005,13915.404584617267
4800,1.6384690701961517,0.0007,1.3893741073599994,14105.12827048256
4850,1.5828534066677094,0.0007,1.4175752402999933,13813.446682277026
4900,1.6570958495140076,0.0007,1.397706187019994,14058.390942587217
4950,1.557090014219284,0.0007,1.4172503002399934,13922.748858588091
5000,1.483036607503891,0.0007,1.4068704209800125,13947.325714852577
5000,,,,
5050,1.50451198220253,0.0007,2.17028515760001,9055.713223295328
5100,1.5166665017604828,0.0007,1.4072654086799958,13950.275391487397
5150,1.6221257150173187,0.0007,1.4042203339999833,13940.561552928084
5200,1.5537568628787994,0.0007,1.3905384344599951,14002.777282140762
5250,1.5178954303264618,0.0007,1.3904103228399982,14094.947137597754
5300,1.561530351638794,0.0007,1.4159044379999977,13905.67009438248
5350,1.5636215806007385,0.0007,1.4312355234200005,13818.78780701288
5400,1.6224162876605988,0.0007,1.4042814237600032,13957.729318613994
5450,1.5359566807746887,0.0007,1.4075818114600043,13937.875468602882
5500,1.572079837322235,0.0007,1.3887261189999844,14095.018256080066
5550,1.4830890893936157,0.0007,1.402686826939971,13992.94526977117
5600,1.5671204626560211,0.0007,1.4041292605600029,13963.116182181557
5650,1.5558333992958069,0.0007,1.3985274628000115,13987.912658385472
5700,1.4646418392658234,0.0007,1.4194099685200126,13895.224380144911
5750,1.4989362955093384,0.0007,1.396033951999998,14099.098357745406
5800,1.6031282842159271,0.0007,1.3796425248600281,14071.38418118099
5850,1.4542165696620941,0.0007,1.4253778519200204,13901.408649860114
5900,1.479408860206604,0.0007,1.4092679390599734,13912.769500084118
5950,1.4966643452644348,0.0007,1.3946553731999665,14019.563811766533
6000,1.5256525874137878,0.0007,1.4025326564200078,14011.851995063218
6000,,,,
6050,1.4726409912109375,0.0007,2.9351532004600087,6724.3985754838
6100,1.529637724161148,0.0007,1.408289127120006,13867.251847592974
6150,1.5283463597297668,0.0007,1.3883649854200122,14126.587897249989
6200,1.5570847988128662,0.0007,1.4056862438199824,13995.427561799079
6250,1.4658189713954926,0.0007,1.4018591522600037,13962.016061632008
6300,1.4356580078601837,0.0007,1.4196055491000152,13910.652865874874
6350,1.4470639526844025,0.0007,1.395126541919999,14014.671366721936
6400,1.4913289546966553,0.0007,1.4055535833599788,13990.288405080173
6450,1.4549177587032318,0.0007,1.4054608924399872,13921.625358092613
6500,1.4357482194900513,0.0007,1.3965681375799976,14049.912404561099
6550,1.3937521874904633,0.0007,1.4101785310799824,13924.052570111297
6600,1.4596273303031921,0.0007,1.413764629340003,13919.3608268349
6650,1.5921732783317566,0.0007,1.405646386820008,13950.934021438961
6700,1.5507321059703827,0.0007,1.4016633427600027,14024.537419443559
6750,1.3790551722049713,0.0007,1.3986025049599993,13981.971239611992
6800,1.4600208401679993,0.0007,1.3971470774599948,14042.200936831407
6850,1.4071197509765625,0.0007,1.4139251773800061,13899.27862831895
6900,1.3359768390655518,0.0007,1.4107207086199924,13931.389735694334
6950,1.3880149722099304,0.0007,1.3940946528399945,14059.834430947818
7000,1.4342549443244934,0.0007,1.3940452010199806,14008.943171793246
7000,,,,
